dataset,model,include_non_intersection_frac,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-BRCA,mofa,0.0,0.7640280321641821,0.7331135552133361,0.756533892382949,0.7269745433733723,0.7640280321641821,0.7611456409513643,0.6338142069175676,0.6277610654532894,0.9031243101281975,0.8944862916444588,0.7980194617347922,1.979357440678842,0.4010046781858954,0.18202403295968664,0.02126817984463942,0.02350194644548931,0.02060923892385694,0.019571593865562745,0.02126817984463942,0.02111203034237342,0.024075999740218863,0.024446319361300508,0.011063956772068107,0.00958482049200396,0.018596879629081065,0.6898239120132613,0.03772085777321791,0.01751448380552429,3
TCGA-BRCA,mofa,0.25,0.7740054467742957,0.7423413605398839,0.7634290316224158,0.7319480929155313,0.7740054467742957,0.7686037606147392,0.6448453851531175,0.6374825683518593,0.9084782888639,0.8997481779747813,0.7909247905950103,1.6189978139188383,0.3800242655077875,0.1597039550603342,0.0118992218447344,0.009698062955808608,0.0038249368397977167,0.009454119388807808,0.0118992218447344,0.003788530182267358,0.007706491442344277,0.007560330288650925,0.004677805388518351,0.0033857308007787354,0.010090057598505155,0.27221107920542453,0.01019404398638644,0.005628023964132348,3
TCGA-BRCA,mofa,0.5,0.7771419434745314,0.7476436344688837,0.7699237938252693,0.7390832234403506,0.7771419434745314,0.7757004930504393,0.6566020376961349,0.6494075020500739,0.911981782984558,0.9066682146925039,0.7944816306673669,1.3618389079908102,0.3605335610665197,0.1443442726066352,0.012785679477287624,0.016461345117486446,0.014941893071310707,0.01673303829452591,0.012785679477287624,0.016828198526897757,0.01801074001030283,0.017793449766970486,0.010365601168035633,0.01196908556124186,0.015396608688220879,1.0062889397505757,0.03670377126987688,0.023672010340316373,3
TCGA-BRCA,mofa,0.75,0.7743913839588923,0.7429035543773024,0.7662821291236592,0.7315409752600962,0.7743913839588923,0.7723959261450172,0.6552081713037968,0.6478449916802851,0.9140137413992996,0.908127196943627,0.7885829428759136,1.210243912464822,0.35991094895146586,0.12992171960764318,0.020708487604723012,0.021619269344983892,0.016369147408257956,0.021140965006950882,0.020708487604723012,0.015699574747775353,0.020988323268772903,0.021671975926070345,0.010976877169124065,0.007674977339106805,0.020025848370607755,0.36036898534614226,0.025437224098179827,0.009524725125948333,3
TCGA-BRCA,mofa,1.0,0.7722977783877231,0.7429617898657992,0.7633721237339658,0.7335862017804883,0.7722977783877231,0.7709047744605071,0.6520330543700963,0.6439961671746947,0.9149565908229974,0.9095703688174849,0.7861938489292014,1.0352216985602258,0.359069950834117,0.1228938884368323,0.008854719685903636,0.006377975495596241,0.006668033088847408,0.004758665620689366,0.008854719685903636,0.007051338408018225,0.011054910685605044,0.010170874798223336,0.00538429161266385,0.006406498358344946,0.006182790301573361,0.3461002653544871,0.014037119959128055,0.005869557706486224,3
TCGA-BRCA,pca_logreg,0.0,0.8445051207717453,0.8373195138667614,0.8513801537386443,0.8399400349365244,0.8445051207717453,0.8545735101172691,0.7612373595515879,0.7582915634063144,0.9548176726330303,0.9499584371711104,0.8913996824323153,0.6057078084546172,0.24210233028139216,0.12303464196534775,0.0030844560554006023,0.0032088314350305026,0.0029093165042858838,0.005532955651792486,0.0030844560554006023,0.0027785967608224688,0.005100382502553055,0.0047341201509590045,0.0012157063900264265,0.0010458949956220359,0.004972156372684745,0.021365348593024847,0.002368747521298391,0.0013993620152179798,3
TCGA-BRCA,pca_logreg,0.25,0.8378710712958174,0.8308673291713035,0.8466975737013905,0.8335672530367341,0.8378710712958174,0.8493594060485895,0.7559699516065453,0.7528636049256798,0.9577997559188355,0.9525915183641231,0.8951471864692205,0.541919508871071,0.2409402920710674,0.11423496023439539,0.016254289794331186,0.01619777361037069,0.007580916638103969,0.014547843070533459,0.016254289794331186,0.007558126044192293,0.013988093995006832,0.014822107200955021,0.003686068687213208,0.0027205093089729317,0.010595670030020987,0.024048045694776577,0.00981089980474996,0.0029179745210057167,3
TCGA-BRCA,pca_logreg,0.5,0.8362628743688673,0.8274022884699844,0.842203573806815,0.8289402258696126,0.8362628743688673,0.8460908772770254,0.7528304398063664,0.7498361425699466,0.9546793950339761,0.9500257625481295,0.8835918615410993,0.6370433471560684,0.2468900923516393,0.10940797407580584,0.0006357714229684405,0.002174902096045195,0.004805232198413367,0.001984838496551487,0.0006357714229684405,0.004028953220435756,0.007305594537478116,0.007906718472065942,0.003199138761740391,0.004586921805776543,0.007741247362091254,0.13263426650453952,0.007330964486085201,0.0006231631907671802,3
TCGA-BRCA,pca_logreg,0.75,0.8387696608075008,0.8272097108809552,0.8384537543007489,0.8253361711037172,0.8387696608075008,0.8425051724399619,0.7508405612744801,0.747698950894451,0.9587897470301369,0.9524770687238372,0.8940737266694958,0.5577046868672718,0.24545180892605364,0.1019582054083763,0.003361365466356106,0.004242845695912233,0.001522861791848414,0.005718296398344596,0.003361365466356106,0.0017499028587782978,0.0018591701297588973,0.0015560494943936724,0.0005631296299911475,0.0013717621654817675,0.008177783668732487,0.009032075213412904,0.0016596292557287306,0.0015694459199874547,3
TCGA-BRCA,pca_logreg,1.0,0.8363668843711736,0.8228171194451033,0.8352067827396775,0.819054576186322,0.8363668843711736,0.8393573454233269,0.7478773987129852,0.7444653127196648,0.9577991778374201,0.9522709763159614,0.8893393417927773,0.547731866741395,0.2499028634342083,0.0968908343878615,0.004095531289051988,0.004129407989152244,0.004955458365426368,0.0051204845687849035,0.004095531289051988,0.0049727430633282705,0.007490033126125578,0.007784185457318839,0.0005847416678192635,0.0012338315008877112,0.0017580124738471108,0.014691603254634143,0.006173130496081749,0.0027746848394538635,3
