dataset,model,ratio_per_omic,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-BRCA,mofa,0.1,0.7583515110248965,0.7308979763573576,0.763933745348219,0.7219845546882357,0.7583515110248965,0.7715432722660879,0.6505864341389392,0.6431532686756231,0.9136055789973051,0.913359430810615,0.7769017342210981,0.7639159047930247,0.3582831816392869,0.11841422339050527,0.004367637359052848,0.0030328569417257963,0.0046758299798849426,0.0023963962838517237,0.004367637359052848,0.0043115615710812155,0.005151268936803827,0.006196971068106111,0.000753609045795303,0.0015413432034721306,0.002208357486054585,0.0060004062586913424,0.0037764814755181933,0.002359588709961112,3
TCGA-BRCA,mofa,0.2,0.757258847784598,0.725151987128409,0.7649406514538093,0.7150586826735444,0.757258847784598,0.7719729450305794,0.6504712532921775,0.6438215249185468,0.9133633822626734,0.9128408564125144,0.7788676160986033,0.7963733094986313,0.3562714564039076,0.10968207089743039,0.004425689397663805,0.004221945276018681,0.0057555278203784204,0.0050939331992560285,0.004425689397663805,0.004948907435929281,0.007291608725942134,0.007863329229874571,0.0028659072527599375,0.0027923759961319527,0.00433810980473533,0.0106760048885902,0.0064191031269277945,0.0015499861970942287,3
TCGA-BRCA,mofa,0.25,0.753722983652863,0.721176346489434,0.7614794197031038,0.7120945375172708,0.753722983652863,0.7681656663218713,0.6459877189270026,0.6390521118142332,0.9130134591897773,0.9124588425281873,0.7766208106035801,0.7951242634643493,0.35930779728909656,0.112791336989167,0.0038467483570165375,0.0033603064194797673,0.002790045777931035,0.0017160335964551533,0.0038467483570165375,0.002177560258375057,0.004640206542454034,0.004611837857245318,0.003331941298674091,0.0026634241104457877,0.008097336161962815,0.02438123397155829,0.006007804648164535,0.0030819838978757156,3
TCGA-BRCA,mofa,0.5,0.7564190852484867,0.7197682844049064,0.7621545669243037,0.704653227047892,0.7564190852484867,0.769466724199984,0.6473489164844767,0.6409630788137731,0.9174796733918388,0.9171088537384219,0.7827196334326386,0.7676329138577564,0.3554841319842608,0.1112751220290857,0.005648521881449659,0.006903503476847774,0.004884724336565179,0.007486668565039317,0.005648521881449659,0.00500284345919034,0.006778716655175248,0.006951654488052576,0.0017510665252271748,0.001316265604932335,0.0021801556637862578,0.023884002003929056,0.005056501943383747,0.003190181579319751,3
TCGA-BRCA,mofa,0.75,0.7530950566699296,0.7145157500781264,0.7573338394062078,0.6989532131232855,0.7530950566699296,0.7653059434774443,0.6416303778690776,0.6347093591623082,0.9128599071379164,0.9126808859687987,0.7639178591743243,0.8811742326658686,0.3681888091876882,0.1184925322810718,0.0022352599241073925,0.004106128942158697,0.004295128931697928,0.004902881009277132,0.0022352599241073925,0.004599984564775471,0.005142517571292006,0.005734934080544587,0.0003553789757975791,0.0014436659134889516,0.004270995710597892,0.04623204944290056,0.0034936396061992447,0.0016977901248618644,3
TCGA-BRCA,mofa,1.0,0.7436647352483252,0.7060647365285688,0.7544827066208645,0.6916005254328358,0.7436647352483252,0.7634407098791781,0.6374213741231746,0.6304580716802072,0.907012774487597,0.9086795336088885,0.7455365911473614,0.9362032276365064,0.3725908772996666,0.11712027445574401,0.004845605378834333,0.005305433705436198,0.004454816415923975,0.0051382488276105675,0.004845605378834333,0.004979763655245313,0.006076975872325461,0.006490477623566673,0.0024808286307355597,0.0017380952738224745,0.004452382705545522,0.011763331775003043,0.0054507878869805935,0.001548193910372297,3
TCGA-BRCA,pnet,1e-05,0.6369917246334157,0.6257317415333948,0.7376875195954143,0.693412775942379,0.6369917246334157,0.6785574574420999,0.577531606323001,0.5396165612446432,0.8656738780029224,0.8353618391083014,0.7176779923616564,0.6721688760096782,0.37360036306126077,0.06859741390044596,0.0025774340869244984,0.0013547875112507118,0.001208470585556574,0.017551198736677556,0.0025774340869244984,0.0009265107133934908,0.0020741158147964843,0.0017160621114466162,0.0014492028322615556,0.003008047306028943,0.0011999611503967322,0.010073756452052307,0.0013034833382727818,0.0023489879535577257,3
TCGA-BRCA,pnet,0.0001,0.6754824838799971,0.6826763142998223,0.7618832556332557,0.7485429178051423,0.6754824838799971,0.7254236953974851,0.6151610954619694,0.589909902777861,0.900376904914884,0.8764730498053988,0.7737582061933038,0.6088423068568837,0.33416878745619716,0.07404799203076885,0.0022986639607253077,0.004821101526634048,0.002060868593688257,0.0031014102759249038,0.0022986639607253077,0.004385860433391049,0.002389202990879563,0.003971865124526108,0.0021368980830065603,0.0029465943515255433,0.003664659263244694,0.0240706537445392,0.001599522364932275,0.0045415669749643605,3
TCGA-BRCA,pnet,0.001,0.7683490240201992,0.7755882270938276,0.8055524884472254,0.8045836778580538,0.7683490240201992,0.7935665652572225,0.6880809378017462,0.6805930265365258,0.9338674166192042,0.9165815823673703,0.8481951537057788,0.5147720106180764,0.2750666294412325,0.06807750239323374,0.009546227568228961,0.008970585129465863,0.0013975161346334653,0.004703509385970686,0.009546227568228961,0.004147706407514376,0.0026708185791246104,0.0017081371666123754,0.0016319133485087573,0.001985047860244921,0.0028802744910081247,0.026176455119758475,0.00218030984315397,0.004175299064221166,3
TCGA-BRCA,pnet,0.01,0.8150548686399586,0.8232102658716766,0.843840905683011,0.8405648332254918,0.8150548686399586,0.8410551891859698,0.7505606206956538,0.7474471550357968,0.9360089537259073,0.9278984735523342,0.875059619545486,0.9624480224122931,0.23570568548633028,0.07869378828755856,0.0075701072747124615,0.005498195573642656,0.005303672092813792,0.010088084267889128,0.0075701072747124615,0.005505288811915769,0.008096301331225462,0.008316434949179332,0.011874500779219931,0.012165605865514777,0.014099255695240672,0.21683678663463538,0.009805272282814593,0.004651369992834416,3
TCGA-BRCA,pnet,0.02,0.792737448185561,0.8073913925956706,0.8336944853392222,0.83483323806403,0.792737448185561,0.8303537507617064,0.7329922722687162,0.7285816934460367,0.9043093784410944,0.8989361592169564,0.8428983997760575,1.54276386962265,0.2564724493585244,0.09122876890227527,0.016862343281319733,0.00953663721523902,0.005855796011243036,0.005377067266029826,0.016862343281319733,0.00770090548653263,0.010934551100792817,0.012802456811026522,0.020748052385470596,0.020267032808720265,0.021352692272464217,0.369624525561959,0.01368191057553016,0.007535862444088776,3
TCGA-BRCA,pnet,0.05,0.8135034096751351,0.8258545450757016,0.8498071981624613,0.8490829888949386,0.8135034096751351,0.8475106251713789,0.7593917673434459,0.7556381407541704,0.9081856612108422,0.9039458716226401,0.8518375105860815,1.5652808799171025,0.23967268495068658,0.09096315402280782,0.01879212458398217,0.01270477978448315,0.008265386320846595,0.006137700063831873,0.01879212458398217,0.009568407583174877,0.014782701133482793,0.015943367219751182,0.021831889202128054,0.021627310634582522,0.02444110335688734,0.3939882997295289,0.018184244797276265,0.011215911695257267,3
TCGA-BRCA,pnet,0.1,0.8173463626522056,0.8280366427723789,0.852786212325686,0.8491061450487815,0.8173463626522056,0.8511270298747112,0.7648125267501565,0.7614563984357453,0.9099147923539269,0.9067486964182082,0.8520645957696861,1.569060758125327,0.23670025856867027,0.09225059121991475,0.012176494336704258,0.008417114545851754,0.006722366261334256,0.006103013631070509,0.012176494336704258,0.007137267341976022,0.01088209968950855,0.011770956900386754,0.021394137351999323,0.021186875972173416,0.023499317016979757,0.3910049637788976,0.017097034978822232,0.009814791445844235,3
