dataset,model,n_omics,omic_combination,balanced_accuracy,macro_f1,accuracy,mcc,n_units
TCGA-BRCA,logreg_late,1,cnv,0.516 +/- 0.007,0.505 +/- 0.010,0.571 +/- 0.005,0.327 +/- 0.012,3
TCGA-BRCA,logreg_late,1,dnam,0.584 +/- 0.009,0.622 +/- 0.010,0.679 +/- 0.012,0.463 +/- 0.020,3
TCGA-BRCA,logreg_late,1,mirna,0.724 +/- 0.007,0.725 +/- 0.007,0.763 +/- 0.008,0.625 +/- 0.011,3
TCGA-BRCA,logreg_late,1,mrna,0.788 +/- 0.004,0.782 +/- 0.007,0.798 +/- 0.007,0.685 +/- 0.010,3
TCGA-BRCA,logreg_late,1,rppa,0.721 +/- 0.005,0.739 +/- 0.004,0.766 +/- 0.004,0.622 +/- 0.007,3
TCGA-BRCA,logreg_late,2,dnam+cnv,0.697 +/- 0.007,0.680 +/- 0.007,0.704 +/- 0.003,0.544 +/- 0.003,3
TCGA-BRCA,logreg_late,2,dnam+mirna,0.783 +/- 0.013,0.775 +/- 0.013,0.797 +/- 0.009,0.683 +/- 0.012,3
TCGA-BRCA,logreg_late,2,dnam+rppa,0.803 +/- 0.005,0.804 +/- 0.006,0.811 +/- 0.003,0.703 +/- 0.006,3
TCGA-BRCA,logreg_late,2,mirna+cnv,0.777 +/- 0.011,0.760 +/- 0.008,0.797 +/- 0.004,0.686 +/- 0.007,3
TCGA-BRCA,logreg_late,2,mrna+cnv,0.814 +/- 0.024,0.793 +/- 0.023,0.810 +/- 0.021,0.710 +/- 0.033,3
TCGA-BRCA,logreg_late,2,mrna+dnam,0.834 +/- 0.006,0.823 +/- 0.006,0.828 +/- 0.005,0.737 +/- 0.008,3
TCGA-BRCA,logreg_late,2,mrna+mirna,0.841 +/- 0.005,0.828 +/- 0.006,0.842 +/- 0.005,0.757 +/- 0.009,3
TCGA-BRCA,logreg_late,2,mrna+rppa,0.848 +/- 0.002,0.842 +/- 0.003,0.851 +/- 0.001,0.769 +/- 0.003,3
TCGA-BRCA,logreg_late,2,rppa+cnv,0.754 +/- 0.006,0.734 +/- 0.005,0.762 +/- 0.005,0.634 +/- 0.008,3
TCGA-BRCA,logreg_late,2,rppa+mirna,0.811 +/- 0.002,0.806 +/- 0.006,0.829 +/- 0.003,0.734 +/- 0.005,3
TCGA-BRCA,logreg_late,3,dnam+mirna+cnv,0.800 +/- 0.012,0.785 +/- 0.012,0.807 +/- 0.011,0.702 +/- 0.016,3
TCGA-BRCA,logreg_late,3,dnam+rppa+cnv,0.815 +/- 0.007,0.800 +/- 0.004,0.812 +/- 0.004,0.709 +/- 0.007,3
TCGA-BRCA,logreg_late,3,dnam+rppa+mirna,0.839 +/- 0.014,0.830 +/- 0.012,0.843 +/- 0.008,0.757 +/- 0.013,3
TCGA-BRCA,logreg_late,3,mrna+dnam+cnv,0.836 +/- 0.008,0.821 +/- 0.007,0.833 +/- 0.010,0.744 +/- 0.016,3
TCGA-BRCA,logreg_late,3,mrna+dnam+mirna,0.854 +/- 0.003,0.843 +/- 0.003,0.853 +/- 0.001,0.773 +/- 0.002,3
TCGA-BRCA,logreg_late,3,mrna+dnam+rppa,0.866 +/- 0.011,0.859 +/- 0.008,0.864 +/- 0.004,0.790 +/- 0.007,3
TCGA-BRCA,logreg_late,3,mrna+mirna+cnv,0.849 +/- 0.006,0.833 +/- 0.004,0.850 +/- 0.003,0.770 +/- 0.004,3
TCGA-BRCA,logreg_late,3,mrna+rppa+cnv,0.849 +/- 0.006,0.837 +/- 0.004,0.856 +/- 0.003,0.775 +/- 0.005,3
TCGA-BRCA,logreg_late,3,mrna+rppa+mirna,0.850 +/- 0.010,0.843 +/- 0.011,0.860 +/- 0.006,0.783 +/- 0.010,3
TCGA-BRCA,logreg_late,3,rppa+mirna+cnv,0.827 +/- 0.004,0.813 +/- 0.005,0.835 +/- 0.007,0.745 +/- 0.010,3
TCGA-BRCA,logreg_late,4,dnam+rppa+mirna+cnv,0.843 +/- 0.014,0.831 +/- 0.014,0.844 +/- 0.012,0.759 +/- 0.020,3
TCGA-BRCA,logreg_late,4,mrna+dnam+mirna+cnv,0.850 +/- 0.007,0.838 +/- 0.007,0.849 +/- 0.002,0.766 +/- 0.004,3
TCGA-BRCA,logreg_late,4,mrna+dnam+rppa+cnv,0.857 +/- 0.005,0.846 +/- 0.003,0.857 +/- 0.003,0.779 +/- 0.005,3
TCGA-BRCA,logreg_late,4,mrna+dnam+rppa+mirna,0.871 +/- 0.010,0.864 +/- 0.007,0.873 +/- 0.008,0.803 +/- 0.013,3
TCGA-BRCA,logreg_late,4,mrna+rppa+mirna+cnv,0.867 +/- 0.003,0.855 +/- 0.001,0.872 +/- 0.003,0.802 +/- 0.004,3
TCGA-BRCA,logreg_late,5,mrna+dnam+rppa+mirna+cnv,0.869 +/- 0.006,0.856 +/- 0.004,0.870 +/- 0.007,0.798 +/- 0.011,3
TCGA-BRCA,mofa,1,cnv,0.510 +/- 0.013,0.501 +/- 0.007,0.565 +/- 0.008,0.322 +/- 0.021,3
TCGA-BRCA,mofa,1,dnam,0.360 +/- 0.014,0.282 +/- 0.012,0.381 +/- 0.011,0.154 +/- 0.012,3
TCGA-BRCA,mofa,1,mirna,0.725 +/- 0.007,0.684 +/- 0.005,0.723 +/- 0.003,0.602 +/- 0.005,3
TCGA-BRCA,mofa,1,mrna,0.516 +/- 0.166,0.453 +/- 0.186,0.493 +/- 0.182,0.325 +/- 0.202,3
TCGA-BRCA,mofa,1,rppa,0.288 +/- 0.017,0.185 +/- 0.015,0.224 +/- 0.006,0.039 +/- 0.020,3
TCGA-BRCA,mofa,2,dnam+cnv,0.527 +/- 0.052,0.510 +/- 0.056,0.579 +/- 0.074,0.383 +/- 0.075,3
TCGA-BRCA,mofa,2,dnam+mirna,0.734 +/- 0.020,0.677 +/- 0.016,0.715 +/- 0.012,0.595 +/- 0.017,3
TCGA-BRCA,mofa,2,dnam+rppa,0.452 +/- 0.041,0.340 +/- 0.055,0.361 +/- 0.061,0.234 +/- 0.057,3
TCGA-BRCA,mofa,2,mirna+cnv,0.716 +/- 0.009,0.687 +/- 0.008,0.732 +/- 0.009,0.595 +/- 0.013,3
TCGA-BRCA,mofa,2,mrna+cnv,0.771 +/- 0.009,0.740 +/- 0.007,0.743 +/- 0.002,0.623 +/- 0.005,3
TCGA-BRCA,mofa,2,mrna+dnam,0.674 +/- 0.020,0.629 +/- 0.020,0.665 +/- 0.017,0.520 +/- 0.017,3
TCGA-BRCA,mofa,2,mrna+mirna,0.809 +/- 0.012,0.773 +/- 0.017,0.788 +/- 0.010,0.686 +/- 0.016,3
TCGA-BRCA,mofa,2,mrna+rppa,0.702 +/- 0.108,0.651 +/- 0.109,0.681 +/- 0.078,0.529 +/- 0.124,3
TCGA-BRCA,mofa,2,rppa+cnv,0.679 +/- 0.014,0.663 +/- 0.021,0.716 +/- 0.017,0.564 +/- 0.021,3
TCGA-BRCA,mofa,2,rppa+mirna,0.750 +/- 0.010,0.714 +/- 0.012,0.742 +/- 0.005,0.617 +/- 0.011,3
TCGA-BRCA,mofa,3,dnam+mirna+cnv,0.725 +/- 0.018,0.693 +/- 0.017,0.719 +/- 0.011,0.590 +/- 0.015,3
TCGA-BRCA,mofa,3,dnam+rppa+cnv,0.680 +/- 0.008,0.665 +/- 0.006,0.714 +/- 0.002,0.569 +/- 0.006,3
TCGA-BRCA,mofa,3,dnam+rppa+mirna,0.769 +/- 0.018,0.725 +/- 0.023,0.760 +/- 0.017,0.647 +/- 0.025,3
TCGA-BRCA,mofa,3,mrna+dnam+cnv,0.730 +/- 0.011,0.695 +/- 0.010,0.709 +/- 0.017,0.574 +/- 0.021,3
TCGA-BRCA,mofa,3,mrna+dnam+mirna,0.790 +/- 0.014,0.749 +/- 0.015,0.770 +/- 0.010,0.666 +/- 0.014,3
TCGA-BRCA,mofa,3,mrna+dnam+rppa,0.741 +/- 0.012,0.700 +/- 0.011,0.724 +/- 0.009,0.594 +/- 0.013,3
TCGA-BRCA,mofa,3,mrna+mirna+cnv,0.805 +/- 0.008,0.773 +/- 0.006,0.796 +/- 0.003,0.696 +/- 0.005,3
TCGA-BRCA,mofa,3,mrna+rppa+cnv,0.772 +/- 0.033,0.728 +/- 0.057,0.743 +/- 0.055,0.639 +/- 0.048,3
TCGA-BRCA,mofa,3,mrna+rppa+mirna,0.792 +/- 0.018,0.755 +/- 0.024,0.773 +/- 0.019,0.665 +/- 0.026,3
TCGA-BRCA,mofa,3,rppa+mirna+cnv,0.764 +/- 0.013,0.738 +/- 0.010,0.779 +/- 0.008,0.666 +/- 0.010,3
TCGA-BRCA,mofa,4,dnam+rppa+mirna+cnv,0.760 +/- 0.015,0.739 +/- 0.013,0.769 +/- 0.008,0.658 +/- 0.013,3
TCGA-BRCA,mofa,4,mrna+dnam+mirna+cnv,0.792 +/- 0.012,0.757 +/- 0.004,0.779 +/- 0.006,0.675 +/- 0.006,3
TCGA-BRCA,mofa,4,mrna+dnam+rppa+cnv,0.802 +/- 0.003,0.770 +/- 0.005,0.785 +/- 0.001,0.681 +/- 0.002,3
TCGA-BRCA,mofa,4,mrna+dnam+rppa+mirna,0.791 +/- 0.005,0.759 +/- 0.004,0.783 +/- 0.004,0.675 +/- 0.005,3
TCGA-BRCA,mofa,4,mrna+rppa+mirna+cnv,0.820 +/- 0.004,0.786 +/- 0.003,0.803 +/- 0.004,0.706 +/- 0.005,3
TCGA-BRCA,mofa,5,mrna+dnam+rppa+mirna+cnv,0.816 +/- 0.009,0.785 +/- 0.011,0.799 +/- 0.010,0.705 +/- 0.013,3
TCGA-BRCA,pca_logreg,1,cnv,0.507 +/- 0.011,0.496 +/- 0.013,0.568 +/- 0.009,0.321 +/- 0.018,3
TCGA-BRCA,pca_logreg,1,dnam,0.558 +/- 0.009,0.556 +/- 0.012,0.605 +/- 0.010,0.369 +/- 0.013,3
TCGA-BRCA,pca_logreg,1,mirna,0.769 +/- 0.003,0.738 +/- 0.007,0.765 +/- 0.008,0.657 +/- 0.008,3
TCGA-BRCA,pca_logreg,1,mrna,0.796 +/- 0.004,0.777 +/- 0.003,0.786 +/- 0.004,0.674 +/- 0.006,3
TCGA-BRCA,pca_logreg,1,rppa,0.738 +/- 0.006,0.739 +/- 0.007,0.770 +/- 0.003,0.632 +/- 0.004,3
TCGA-BRCA,pca_logreg,2,dnam+cnv,0.652 +/- 0.017,0.637 +/- 0.015,0.669 +/- 0.016,0.490 +/- 0.021,3
TCGA-BRCA,pca_logreg,2,dnam+mirna,0.783 +/- 0.006,0.755 +/- 0.001,0.778 +/- 0.003,0.669 +/- 0.003,3
TCGA-BRCA,pca_logreg,2,dnam+rppa,0.795 +/- 0.004,0.777 +/- 0.003,0.790 +/- 0.004,0.678 +/- 0.006,3
TCGA-BRCA,pca_logreg,2,mirna+cnv,0.773 +/- 0.004,0.749 +/- 0.002,0.780 +/- 0.004,0.667 +/- 0.008,3
TCGA-BRCA,pca_logreg,2,mrna+cnv,0.810 +/- 0.005,0.785 +/- 0.006,0.796 +/- 0.003,0.692 +/- 0.007,3
TCGA-BRCA,pca_logreg,2,mrna+dnam,0.820 +/- 0.003,0.797 +/- 0.003,0.808 +/- 0.004,0.713 +/- 0.005,3
TCGA-BRCA,pca_logreg,2,mrna+mirna,0.832 +/- 0.007,0.804 +/- 0.006,0.820 +/- 0.007,0.732 +/- 0.009,3
TCGA-BRCA,pca_logreg,2,mrna+rppa,0.839 +/- 0.002,0.818 +/- 0.005,0.829 +/- 0.005,0.740 +/- 0.006,3
TCGA-BRCA,pca_logreg,2,rppa+cnv,0.754 +/- 0.002,0.736 +/- 0.004,0.763 +/- 0.003,0.634 +/- 0.003,3
TCGA-BRCA,pca_logreg,2,rppa+mirna,0.815 +/- 0.004,0.788 +/- 0.002,0.809 +/- 0.003,0.713 +/- 0.004,3
TCGA-BRCA,pca_logreg,3,dnam+mirna+cnv,0.777 +/- 0.007,0.754 +/- 0.011,0.779 +/- 0.012,0.665 +/- 0.015,3
TCGA-BRCA,pca_logreg,3,dnam+rppa+cnv,0.787 +/- 0.007,0.770 +/- 0.008,0.787 +/- 0.007,0.673 +/- 0.010,3
TCGA-BRCA,pca_logreg,3,dnam+rppa+mirna,0.820 +/- 0.008,0.800 +/- 0.006,0.820 +/- 0.005,0.727 +/- 0.008,3
TCGA-BRCA,pca_logreg,3,mrna+dnam+cnv,0.815 +/- 0.007,0.794 +/- 0.008,0.807 +/- 0.006,0.708 +/- 0.010,3
TCGA-BRCA,pca_logreg,3,mrna+dnam+mirna,0.823 +/- 0.006,0.799 +/- 0.006,0.817 +/- 0.004,0.725 +/- 0.007,3
TCGA-BRCA,pca_logreg,3,mrna+dnam+rppa,0.836 +/- 0.006,0.813 +/- 0.003,0.830 +/- 0.008,0.741 +/- 0.013,3
TCGA-BRCA,pca_logreg,3,mrna+mirna+cnv,0.839 +/- 0.006,0.818 +/- 0.007,0.830 +/- 0.002,0.742 +/- 0.003,3
TCGA-BRCA,pca_logreg,3,mrna+rppa+cnv,0.835 +/- 0.010,0.812 +/- 0.009,0.824 +/- 0.009,0.733 +/- 0.014,3
TCGA-BRCA,pca_logreg,3,mrna+rppa+mirna,0.835 +/- 0.005,0.816 +/- 0.003,0.836 +/- 0.001,0.750 +/- 0.001,3
TCGA-BRCA,pca_logreg,3,rppa+mirna+cnv,0.801 +/- 0.006,0.780 +/- 0.004,0.808 +/- 0.005,0.706 +/- 0.009,3
TCGA-BRCA,pca_logreg,4,dnam+rppa+mirna+cnv,0.810 +/- 0.006,0.792 +/- 0.005,0.809 +/- 0.006,0.709 +/- 0.008,3
TCGA-BRCA,pca_logreg,4,mrna+dnam+mirna+cnv,0.829 +/- 0.012,0.810 +/- 0.008,0.826 +/- 0.005,0.735 +/- 0.007,3
TCGA-BRCA,pca_logreg,4,mrna+dnam+rppa+cnv,0.837 +/- 0.007,0.823 +/- 0.011,0.833 +/- 0.009,0.747 +/- 0.012,3
TCGA-BRCA,pca_logreg,4,mrna+dnam+rppa+mirna,0.833 +/- 0.001,0.816 +/- 0.004,0.837 +/- 0.003,0.752 +/- 0.004,3
TCGA-BRCA,pca_logreg,4,mrna+rppa+mirna+cnv,0.850 +/- 0.006,0.836 +/- 0.007,0.844 +/- 0.003,0.762 +/- 0.005,3
TCGA-BRCA,pca_logreg,5,mrna+dnam+rppa+mirna+cnv,0.833 +/- 0.014,0.824 +/- 0.011,0.838 +/- 0.007,0.750 +/- 0.012,3
TCGA-BRCA,pnet,1,cnv,0.420 +/- 0.025,0.405 +/- 0.022,0.567 +/- 0.004,0.263 +/- 0.029,3
TCGA-BRCA,pnet,1,dnam,0.570 +/- 0.014,0.618 +/- 0.020,0.713 +/- 0.009,0.525 +/- 0.013,3
TCGA-BRCA,pnet,1,mirna,0.597 +/- 0.022,0.609 +/- 0.023,0.734 +/- 0.005,0.561 +/- 0.007,3
TCGA-BRCA,pnet,1,mrna,0.648 +/- 0.005,0.657 +/- 0.009,0.760 +/- 0.002,0.615 +/- 0.004,3
TCGA-BRCA,pnet,1,rppa,0.705 +/- 0.012,0.747 +/- 0.009,0.782 +/- 0.005,0.644 +/- 0.009,3
TCGA-BRCA,pnet,2,dnam+cnv,0.655 +/- 0.010,0.672 +/- 0.007,0.735 +/- 0.005,0.566 +/- 0.008,3
TCGA-BRCA,pnet,2,dnam+mirna,0.723 +/- 0.006,0.752 +/- 0.003,0.793 +/- 0.003,0.663 +/- 0.005,3
TCGA-BRCA,pnet,2,dnam+rppa,0.773 +/- 0.017,0.794 +/- 0.019,0.819 +/- 0.013,0.708 +/- 0.020,3
TCGA-BRCA,pnet,2,mirna+cnv,0.658 +/- 0.057,0.668 +/- 0.049,0.768 +/- 0.024,0.620 +/- 0.044,3
TCGA-BRCA,pnet,2,mrna+cnv,0.705 +/- 0.004,0.702 +/- 0.003,0.773 +/- 0.004,0.639 +/- 0.007,3
TCGA-BRCA,pnet,2,mrna+dnam,0.774 +/- 0.002,0.790 +/- 0.000,0.832 +/- 0.002,0.729 +/- 0.004,3
TCGA-BRCA,pnet,2,mrna+mirna,0.729 +/- 0.025,0.753 +/- 0.022,0.799 +/- 0.013,0.674 +/- 0.022,3
TCGA-BRCA,pnet,2,mrna+rppa,0.781 +/- 0.003,0.801 +/- 0.004,0.842 +/- 0.003,0.747 +/- 0.006,3
TCGA-BRCA,pnet,2,rppa+cnv,0.702 +/- 0.015,0.725 +/- 0.011,0.780 +/- 0.009,0.642 +/- 0.015,3
TCGA-BRCA,pnet,2,rppa+mirna,0.759 +/- 0.007,0.784 +/- 0.005,0.820 +/- 0.006,0.709 +/- 0.010,3
TCGA-BRCA,pnet,3,dnam+mirna+cnv,0.724 +/- 0.009,0.742 +/- 0.009,0.787 +/- 0.010,0.654 +/- 0.017,3
TCGA-BRCA,pnet,3,dnam+rppa+cnv,0.786 +/- 0.002,0.796 +/- 0.003,0.822 +/- 0.004,0.714 +/- 0.006,3
TCGA-BRCA,pnet,3,dnam+rppa+mirna,0.785 +/- 0.017,0.807 +/- 0.015,0.838 +/- 0.014,0.738 +/- 0.023,3
TCGA-BRCA,pnet,3,mrna+dnam+cnv,0.776 +/- 0.012,0.779 +/- 0.011,0.824 +/- 0.005,0.720 +/- 0.008,3
TCGA-BRCA,pnet,3,mrna+dnam+mirna,0.781 +/- 0.028,0.801 +/- 0.019,0.834 +/- 0.018,0.732 +/- 0.032,3
TCGA-BRCA,pnet,3,mrna+dnam+rppa,0.810 +/- 0.008,0.827 +/- 0.006,0.850 +/- 0.003,0.759 +/- 0.005,3
TCGA-BRCA,pnet,3,mrna+mirna+cnv,0.750 +/- 0.027,0.770 +/- 0.022,0.811 +/- 0.017,0.694 +/- 0.028,3
TCGA-BRCA,pnet,3,mrna+rppa+cnv,0.790 +/- 0.023,0.800 +/- 0.021,0.841 +/- 0.012,0.745 +/- 0.020,3
