dataset,model,include_non_intersection_frac,balanced_accuracy,macro_f1,accuracy,mcc,macro_roc_auc_ovr,n_units
TCGA-LGG,logreg_late,1.0,0.682 +/- 0.011,0.678 +/- 0.011,0.679 +/- 0.012,0.367 +/- 0.023,0.752 +/- 0.013,3
TCGA-LGG,mofa,0.0,0.668 +/- 0.013,0.662 +/- 0.014,0.666 +/- 0.013,0.343 +/- 0.025,0.727 +/- 0.009,3
TCGA-LGG,mofa,0.25,0.671 +/- 0.006,0.666 +/- 0.007,0.669 +/- 0.007,0.350 +/- 0.012,0.733 +/- 0.003,3
TCGA-LGG,mofa,0.5,0.674 +/- 0.011,0.669 +/- 0.010,0.671 +/- 0.010,0.355 +/- 0.021,0.739 +/- 0.016,3
TCGA-LGG,mofa,0.75,0.685 +/- 0.003,0.680 +/- 0.003,0.682 +/- 0.003,0.378 +/- 0.005,0.742 +/- 0.004,3
TCGA-LGG,mofa,1.0,0.682 +/- 0.005,0.676 +/- 0.004,0.678 +/- 0.004,0.369 +/- 0.011,0.744 +/- 0.008,3
TCGA-LGG,pca_logreg,0.0,0.635 +/- 0.002,0.632 +/- 0.002,0.635 +/- 0.002,0.274 +/- 0.005,0.682 +/- 0.000,3
TCGA-LGG,pca_logreg,0.25,0.647 +/- 0.020,0.644 +/- 0.019,0.646 +/- 0.019,0.298 +/- 0.041,0.700 +/- 0.025,3
TCGA-LGG,pca_logreg,0.5,0.662 +/- 0.009,0.659 +/- 0.009,0.661 +/- 0.009,0.327 +/- 0.019,0.721 +/- 0.006,3
TCGA-LGG,pca_logreg,0.75,0.658 +/- 0.004,0.655 +/- 0.004,0.657 +/- 0.004,0.320 +/- 0.008,0.712 +/- 0.010,3
TCGA-LGG,pca_logreg,1.0,0.657 +/- 0.010,0.653 +/- 0.010,0.655 +/- 0.010,0.316 +/- 0.019,0.715 +/- 0.010,3
TCGA-LGG,pnet,0.0,0.643 +/- 0.004,0.641 +/- 0.004,0.643 +/- 0.004,0.290 +/- 0.008,0.696 +/- 0.005,3
TCGA-LGG,pnet,0.25,0.667 +/- 0.020,0.663 +/- 0.021,0.666 +/- 0.020,0.338 +/- 0.040,0.731 +/- 0.024,3
TCGA-LGG,pnet,0.5,0.664 +/- 0.007,0.662 +/- 0.007,0.664 +/- 0.007,0.332 +/- 0.013,0.728 +/- 0.005,3
TCGA-LGG,pnet,0.75,0.665 +/- 0.013,0.661 +/- 0.013,0.664 +/- 0.013,0.335 +/- 0.026,0.735 +/- 0.014,3
TCGA-LGG,pnet,1.0,0.672 +/- 0.006,0.670 +/- 0.005,0.671 +/- 0.005,0.347 +/- 0.012,0.737 +/- 0.009,3
TCGA-LGG,svm_early,0.0,0.620 +/- 0.011,0.597 +/- 0.012,0.621 +/- 0.011,0.243 +/- 0.021,0.699 +/- 0.007,3
TCGA-LGG,svm_early,0.25,0.636 +/- 0.022,0.612 +/- 0.022,0.636 +/- 0.021,0.275 +/- 0.044,0.712 +/- 0.025,3
TCGA-LGG,svm_early,0.5,0.637 +/- 0.008,0.614 +/- 0.007,0.637 +/- 0.007,0.278 +/- 0.018,0.721 +/- 0.009,3
TCGA-LGG,svm_early,0.75,0.644 +/- 0.001,0.620 +/- 0.001,0.641 +/- 0.002,0.291 +/- 0.002,0.726 +/- 0.005,3
TCGA-LGG,svm_early,1.0,0.639 +/- 0.011,0.615 +/- 0.011,0.637 +/- 0.011,0.280 +/- 0.023,0.723 +/- 0.017,3
