dataset,model,n_patients,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-BRCA,pnet,20,0.37777777777777777,0.22888888888888884,0.43333333333333335,0.2111111111111111,0.2833333333333334,0.355,0.11577145566534607,0.09548821548821551,0.5675925925925926,0.5652777777777778,0.5462962962962963,11.957475986825102,0.9410424761891584,0.4824136570096016,0.05091750772173155,0.06395165998482615,0.028867513459481266,0.07742977702647974,0.03818813079129868,0.06584915421712806,0.07621397818832451,0.07116427458693929,0.022280017436140637,0.02369266959615552,0.04018987854483463,3.4934080048848775,0.06797418235849002,0.05928065302427712,3
TCGA-BRCA,pnet,50,0.5392592592592592,0.48478216228216225,0.6733333333333332,0.5013029100529101,0.5105555555555555,0.6257572427572428,0.45886256644412066,0.4216045927751088,0.808287037037037,0.8043518518518519,0.7248249559082892,3.672814493906934,0.48091857876747374,0.30219111720720926,0.026042067898143614,0.04710180346788533,0.023094010767585042,0.06270036016833509,0.024113927126900758,0.05019782878696954,0.04572017439620523,0.06971434134137931,0.10498521843828766,0.0940711960043853,0.1130618898846371,3.1016969644029864,0.09598840911012975,0.06495066084738524,3
TCGA-BRCA,pnet,100,0.5859090909090909,0.5908657260059059,0.7433333333333333,0.6701573414402362,0.5859090909090909,0.7019146057230016,0.5694744428276013,0.5361837929157168,0.7810858085824707,0.7817700020066506,0.7145340230693981,3.9968664758977854,0.41609660370439344,0.2546805087725322,0.06535271083582107,0.05948033707150878,0.045092497528228984,0.03538291466061953,0.06535271083582107,0.052078201911023254,0.09581957141018041,0.10199833880275361,0.13330591665219824,0.12520596068436135,0.11857486146325776,3.16318695549821,0.10855528542900748,0.027540804082132418,3
TCGA-BRCA,pnet,200,0.7100829725829726,0.7173918890197463,0.7933333333333333,0.7659730331396998,0.7100829725829726,0.7774643102340889,0.6665758941426841,0.6569572553969164,0.9018401454924891,0.8958143157361907,0.8142754878786004,1.4921953911299168,0.3081322004361125,0.1461111410458883,0.06820211452645061,0.07100116392517036,0.05033222956847172,0.07942341533567522,0.06820211452645061,0.05534206819660927,0.08898547702650919,0.08908266948236394,0.0834617082189441,0.08405101098876078,0.10093345974584565,1.7681532218109588,0.10026184701767463,0.05222572040674151,3
TCGA-BRCA,pnet,300,0.7662405303030303,0.7697659116260848,0.8155555555555556,0.8118801383554187,0.7662405303030303,0.8034163191275429,0.7060875103005237,0.6966010803002343,0.9305014110898288,0.9187212377936583,0.848741589682677,0.8134206399227462,0.27401252562251094,0.11908818433682121,0.027434637174391402,0.026770243892360535,0.013877773329774237,0.018504419581586832,0.027434637174391402,0.021446695502568586,0.020579207337506063,0.02915979913454996,0.023812622749767007,0.02384931654377687,0.027838737791955104,0.609013478631361,0.029597836951787828,0.026806861381177265,3
TCGA-BRCA,pnet,400,0.7821155282056443,0.7948453255284104,0.8266666666666667,0.8298144740988388,0.7821155282056443,0.8205141889271008,0.7221631245657272,0.7149100474221918,0.914862589338996,0.9031160398243553,0.8428477331407308,1.2470337887230463,0.273705248467664,0.1147232485562563,0.007020020115939371,0.0015516511068959448,0.01010362971081843,0.013158966381058377,0.007020020115939371,0.014435277060227217,0.017949814565130316,0.021172624765549816,0.013112652798044454,0.020373136041564686,0.005003780865799726,0.2529408108309706,0.02576995034830088,0.014130122762175262,3
TCGA-BRCA,pnet,500,0.7425215729750652,0.7681388358987215,0.8069158249158249,0.8201975074158115,0.7425215729750652,0.797563194337045,0.6866787330201722,0.675083523125001,0.8754270967025071,0.8719940639512859,0.8118561439770108,1.9329808925376322,0.30404254225930977,0.12975197941747177,0.042997668771837035,0.04217326488172698,0.03528183397624055,0.04708494746926569,0.042997668771837035,0.035107397272066965,0.06161012707676212,0.05941040194180697,0.04563640274288729,0.04184588138023413,0.04546810492656075,0.6745336730511731,0.04288297606810997,0.018580822547298502,3
TCGA-BRCA,svm_early,20,0.4888888888888889,0.31055555555555553,0.5666666666666668,0.2805555555555555,0.3666666666666667,0.47388888888888897,0.31102871961495493,0.283011803011803,0.7166666666666667,0.7083333333333334,0.7425925925925926,1.200534214302862,0.6399557237434262,0.31163113135649034,0.22194427061597974,0.16626896995642443,0.20816659994661332,0.16548190009562752,0.16645820296198482,0.22332296825035294,0.3743605371041018,0.33743423384929644,0.25718082220228233,0.2670570059827011,0.2006419737893608,0.5000733030793905,0.25603422224866984,0.09472652033858858,3
TCGA-BRCA,svm_early,50,0.6374074074074074,0.5655824730824731,0.7333333333333334,0.5673809523809524,0.5966666666666667,0.7077803307803308,0.5875192595945524,0.5688070530519138,0.8618009259259258,0.8799444444444444,0.7787632275132275,0.8349175070572873,0.3975704107556692,0.21702270702874485,0.10303171831734084,0.09846351075450062,0.08082903768654769,0.10736194531391141,0.0933779655188763,0.09361033936058734,0.15222522094871666,0.15025978649888994,0.03314718082594384,0.031158347077349872,0.038512576217606335,0.22138020112960208,0.09720846369495685,0.042091275010260144,3
TCGA-BRCA,svm_early,100,0.7236868686868686,0.7116005757502594,0.8066666666666666,0.7281433381433381,0.7236868686868686,0.7966128711818037,0.7024472764001577,0.6935334143832382,0.9023931543244624,0.9186231223483546,0.8219775589464584,0.7333711368201682,0.31963112756741013,0.15571913098527224,0.0349777193063336,0.03407574373601972,0.030550504633038947,0.039833836320626044,0.0349777193063336,0.03085690526567189,0.04761274150864289,0.04780334311009999,0.04924745971298914,0.03421803407191568,0.039887899813155867,0.15389631800214085,0.04838258085087941,0.028529402141509324,3
